Fecha,"USDCOP Curncy PX_LAST","USDCOP Curncy PX_LOW","USDCOP Curncy PX_HIGH","USDCOP Curncy PX_OPEN","USDCOPV1W Curncy PX_LAST","USDCOPV1M Curncy PX_LAST","USDCOPV2M Curncy PX_LAST","USDCOPV3M Curncy PX_LAST","USDCOPV6M Curncy PX_LAST","USDCOPV9M Curncy PX_LAST","USDCOPV1Y Curncy PX_LAST","USDCOP25R1W Curncy PX_LAST","USDCOP25R1M Curncy PX_LAST","USDCOP25R2M Curncy PX_LAST","USDCOP25R3M Curncy PX_LAST","USDCOP25R6M Curncy PX_LAST","USDCOP25R9M Curncy PX_LAST","USDCOP25R1Y Curncy PX_LAST","USDCOP25B1W Curncy PX_LAST","USDCOP25B1M Curncy PX_LAST","USDCOP25B2M Curncy PX_LAST","USDCOP25B3M Curncy PX_LAST","USDCOP25B6M Curncy PX_LAST","USDCOP25B9M Curncy PX_LAST","USDCOP25B1Y Curncy PX_LAST","USDCOP10R1W Curncy PX_LAST","USDCOP10R1M Curncy PX_LAST","USDCOP10R2M Curncy PX_LAST","USDCOP10R3M Curncy PX_LAST","USDCOP10R6M Curncy PX_LAST","USDCOP10R9M Curncy PX_LAST","USDCOP10R1Y Curncy PX_LAST","USDCOP10B1W Curncy PX_LAST","USDCOP10B1M Curncy PX_LAST","USDCOP10B2M Curncy PX_LAST","USDCOP10B3M Curncy PX_LAST","USDCOP10B6M Curncy PX_LAST","USDCOP10B9M Curncy PX_LAST","USDCOP10B1Y Curncy PX_LAST","COP1W Curncy PX_LAST","COP1M Curncy PX_LAST","COP2M Curncy PX_LAST","COP3M Curncy PX_LAST","COP6M Curncy PX_LAST","COP9M Curncy PX_LAST","COP12M Curncy PX_LAST"
2013-05-15,1844.76,1841.22,1845.18,1843.75,7.21,7.055,7.195,7.43,7.7375,8.1525,8.5025,1.1,1.6175,1.8275,2.07,2.76,3.04,3.4025,0.535,0.52,0.5825,0.69,0.815,0.9125,1.0075,1.585,2.9175,3.3875,3.86,4.8125,5.3575,6.0475,2.53,2.1725,2.425,2.765,3.0475,3.18,3.36,1.19,5.25,10.5,15.75,31.5,47.25,62.75
2013-05-16,1840.05,1837.18,1845.03,1844.93,7.045,7.0025,7.1925,7.415,7.7125,8.1275,8.48,0.72,1.5225,1.8025,2.075,2.71,3.03,3.41,0.465,0.42,0.5075,0.605,0.7325,0.8125,0.8975,0.545,2.6825,3.2275,3.71,4.73,5.305,5.98,2.355,1.83,2.135,2.47,2.7825,2.9275,3.09,1.42,5.5,10.5,15.5,31.5,47.5,62
2013-05-17,1841.79,1838.03,1844.5,1840.26,7.01,6.8475,7.0775,7.3975,7.7425,8.145,8.4675,0.645,1.505,1.795,2.08,2.705,3.0375,3.415,0.45,0.4075,0.495,0.5925,0.7225,0.7975,0.8825,0.325,2.6275,3.1825,3.685,4.7225,5.3,5.975,2.34,1.79,2.1,2.445,2.765,2.9075,3.0725,1.24,5.66,10.5,15.5,31.8,47.75,63
2013-05-20,1842.8,1841.35,1844.43,1843.2,7.115,7.005,7.18,7.43,7.69,8.155,8.465,1.125,1.665,1.88,2.135,2.82,3.11,3.485,0.54,0.555,0.63,0.755,0.895,1.02,1.14,1.66,2.965,3.465,3.9,4.815,5.435,6.13,2.535,2.28,2.525,2.87,3.135,3.255,3.43,1.16,5.5,10.65,16.5,32.5,48.5,63.95
2013-05-21,1846.88,1843.1,1848.85,1844.5,7.055,6.99,7.2275,7.48,7.725,8.1675,8.4675,1.06,1.635,1.885,2.155,2.8075,3.1425,3.4875,0.525,0.5025,0.575,0.68,0.805,0.9,0.995,1.455,2.8575,3.3625,3.845,4.8025,5.3525,6.0425,2.515,2.09,2.3975,2.74,3.03,3.1575,3.3425,1.2,5.36,10.65,16.5,32.5,48.5,63.75
2013-05-22,1856.54,1844.1,1857.4,1846.8,7.05,6.9875,7.19,7.475,7.7275,8.1675,8.4525,0.995,1.6325,1.88,2.1575,2.765,3.1525,3.49,0.515,0.49,0.5625,0.6675,0.79,0.8875,0.98,1.27,2.8075,3.325,3.815,4.79,5.3475,6.0375,2.495,2.055,2.3575,2.7,2.995,3.1325,3.31,1.17,5.2,10.7,16.75,33.8,49.5,65.75
2013-05-23,1865.75,1856.2,1867.15,1861.5,7.345,7.6025,7.675,7.845,8.1325,8.4075,8.6425,1.165,1.8575,2.015,2.225,2.995,3.275,3.63,0.54,0.5575,0.615,0.73,0.865,0.9725,1.0775,1.89,3.375,3.755,4.1825,5.2375,5.795,6.48,2.52,2.265,2.515,2.8775,3.1525,3.28,3.455,1.41,6.23,11.75,18.25,35.43,52.25,67.25
2013-05-24,1878.75,1865.59,1885.45,1865.59,7.85,7.93,8.02,8.095,8.28,8.51,8.71,1.105,1.875,2.035,2.25,3.02,3.3,3.6625,0.535,0.55,0.6125,0.725,0.865,0.97,1.075,1.805,3.39,3.77,4.205,5.275,5.84,6.5325,2.505,2.255,2.52,2.9,3.185,3.315,3.4925,1.43,6.13,11.63,17.75,35.5,52.25,67
2013-05-27,1886.6,1879.78,1890.2,1880.5,8.245,8.0725,8.0825,8.16,8.365,8.6625,8.88,1.47,1.9625,2.19,2.4275,3.0025,3.5,3.8875,0.455,0.4825,0.555,0.6825,0.83,0.9425,1.0475,1.845,3.5225,3.9975,4.6075,5.525,6.115,6.695,2.08,1.91,2.2225,2.585,2.87,3.0125,3.205,1.4,6,11.5,17.75,35.5,52.25,67
2013-05-28,1898.42,1883,1902.97,1883,8.775,8.715,8.795,8.85,8.9525,9.0475,9.1925,1.36,2.1075,2.4725,2.855,3.265,3.6775,3.9975,0.465,0.4575,0.5375,0.665,0.7925,0.89,0.98,1.69,3.29,3.9825,4.795,5.5325,5.9925,6.4975,2.25,1.885,2.165,2.49,2.7775,2.92,3.1125,1.33,5.26,10.85,17,34.23,51.5,66.5
2013-05-29,1892.4,1889.85,1900.46,1898,8.68,8.6675,8.83,8.84,8.9475,9.0325,9.18,1.64,2.3,2.5025,2.8025,3.2125,3.675,4.12,0.465,0.465,0.5375,0.6625,0.79,0.895,0.995,2.21,3.5225,4.1,4.795,5.535,6.0925,6.7,2.25,1.875,2.155,2.49,2.7775,2.91,3.085,1.13,4.71,10,15.7,32.66,49.5,62.5
2013-05-30,1890.05,1888.97,1896.68,1895,8.68,8.76,8.8525,8.8325,8.975,9.115,9.1975,1.615,2.21,2.5025,2.815,3.255,3.7275,4.115,0.465,0.49,0.5725,0.71,0.84,0.9475,1.055,2.225,3.76,4.355,5.07,5.77,6.365,6.9625,2.255,2.025,2.33,2.6875,2.975,3.115,3.3,1.19,5.25,10.5,16,32.75,48.88,64.63
