Fecha,"USDMXN Curncy PX_LAST","USDMXN Curncy PX_LOW","USDMXN Curncy PX_HIGH","USDMXN Curncy PX_OPEN","USDMXNV1W Curncy PX_LAST","USDMXNV1M Curncy PX_LAST","USDMXNV2M Curncy PX_LAST","USDMXNV3M Curncy PX_LAST","USDMXNV6M Curncy PX_LAST","USDMXNV9M Curncy PX_LAST","USDMXNV1Y Curncy PX_LAST","USDMXN25R1W Curncy PX_LAST","USDMXN25R1M Curncy PX_LAST","USDMXN25R2M Curncy PX_LAST","USDMXN25R3M Curncy PX_LAST","USDMXN25R6M Curncy PX_LAST","USDMXN25R9M Curncy PX_LAST","USDMXN25R1Y Curncy PX_LAST","USDMXN25B1W Curncy PX_LAST","USDMXN25B1M Curncy PX_LAST","USDMXN25B2M Curncy PX_LAST","USDMXN25B3M Curncy PX_LAST","USDMXN25B6M Curncy PX_LAST","USDMXN25B9M Curncy PX_LAST","USDMXN25B1Y Curncy PX_LAST","USDMXN10R1W Curncy PX_LAST","USDMXN10R1M Curncy PX_LAST","USDMXN10R2M Curncy PX_LAST","USDMXN10R3M Curncy PX_LAST","USDMXN10R6M Curncy PX_LAST","USDMXN10R9M Curncy PX_LAST","USDMXN10R1Y Curncy PX_LAST","USDMXN10B1W Curncy PX_LAST","USDMXN10B1M Curncy PX_LAST","USDMXN10B2M Curncy PX_LAST","USDMXN10B3M Curncy PX_LAST","USDMXN10B6M Curncy PX_LAST","USDMXN10B9M Curncy PX_LAST","USDMXN10B1Y Curncy PX_LAST","MXN1W Curncy PX_LAST","MXN1M Curncy PX_LAST","MXN2M Curncy PX_LAST","MXN3M Curncy PX_LAST","MXN6M Curncy PX_LAST","MXN9M Curncy PX_LAST","MXN12M Curncy PX_LAST"
2010-02-10,13.1303,12.977,13.136,13.0105,14.115,14.045,14.122,14.158,14.285,14.47,14.64,1.9575,2.3425,2.955,3.5525,4.1825,4.345,4.475,0.605,0.69,0.7825,0.895,1.0325,1.1025,1.17,3.765,4.8575,6.085,7.185,8.27,8.57,8.9125,1.92,2.155,2.48,2.755,3.005,3.1725,3.3425,110.25,435,928.75,1415,2965,4557.5,6317.92
2010-02-11,12.9455,12.933,13.1361,13.1303,13.935,13.725,13.94,13.96,14.13,14.37,14.56,1.8125,2.325,2.9075,3.4025,4.1575,4.265,4.3675,0.595,0.675,0.77,0.87,1.025,1.0925,1.165,3.5125,4.825,6.03,6.9425,8.2,8.425,8.7075,1.925,2.115,2.445,2.72,2.965,3.1575,3.35,109.25,435,923.75,1421.25,2952.5,4525,6330.47
2010-02-12,12.9406,12.9174,13.0574,12.9458,14.095,13.785,13.985,14.01,14.122,14.3975,14.585,1.6075,2.23,2.79,3.3075,4.01,4.0625,4.1,0.6425,0.72,0.805,0.905,1.0225,1.0825,1.14,3.1675,4.78,5.965,6.885,8.02,8.1575,8.3275,2.065,2.27,2.575,2.83,3.0175,3.1775,3.335,106.25,420,923.75,1385,2897.5,4500,6100
2010-02-15,12.936,12.9121,12.9743,12.9518,14.267,14.03,14.16,14.158,14.193,14.4325,14.61,1.6575,2.2125,2.79,3.2825,3.9925,4.05,4.09,0.67,0.74,0.82,0.91,1.0325,1.0825,1.14,3.355,4.825,6.05,6.92,8.04,8.1775,8.33,2.185,2.35,2.63,2.85,3.03,3.1675,3.315,107,432,921.5,1384.25,2904.5,NULL,6302.49
2010-02-16,12.8425,12.8351,12.9482,12.9359,14.17,13.895,14.035,14.09,14.15,14.445,14.615,1.66,2.205,2.79,3.2925,4.005,4.075,4.105,0.675,0.745,0.82,0.91,1.025,1.075,1.135,3.365,4.785,6.025,6.8875,8.02,8.1625,8.3125,2.21,2.38,2.6525,2.865,3.03,3.17,3.315,99.25,405,905,1370,2877.5,4475,6146.38
2010-02-17,12.8825,12.8151,12.9107,12.8425,13.84,13.96,14.07,14.12,14.243,14.4375,14.62,1.7275,2.0725,2.6075,3.0725,3.89,4.0525,4.2025,0.595,0.665,0.745,0.835,0.98,1.045,1.115,3.3725,4.015,5.0725,5.9725,7.465,7.79,8.105,1.97,2.145,2.47,2.71,2.955,3.1175,3.28,95.25,405,877.5,1360,2870,4477.5,6288.41
2010-02-18,12.8737,12.8082,12.9042,12.8825,13.86,13.915,13.96,14.025,14.118,14.34,14.555,1.6375,2.0175,2.475,2.9725,3.77,3.875,3.9925,0.56,0.64,0.725,0.83,0.9875,1.06,1.13,3.09,4.155,5.1725,6.0575,7.425,7.61,7.915,1.81,2.015,2.375,2.665,2.9675,3.17,3.355,99.25,410,888.75,1397.5,2872.5,4470,6310.7
2010-02-19,12.7977,12.7858,12.9273,12.8737,13.11,13.535,13.565,13.645,13.77,14.0125,14.235,1.445,1.74,2.3175,2.86,3.62,3.74,3.8025,0.505,0.5875,0.685,0.79,0.96,1.03,1.095,2.74,3.65,4.855,5.8175,7.1275,7.33,7.5025,1.71,1.915,2.31,2.585,2.925,3.1225,3.315,100.75,417.25,902.5,1400,2900,4462.5,6197.54
2010-02-22,12.8098,12.7458,12.8253,12.8009,12.89,13.18,13.405,13.545,13.64,13.875,14.145,1.4225,1.8,2.3875,2.9275,3.6925,3.835,3.8575,0.52,0.6,0.705,0.8225,0.98,1.05,1.1225,2.7075,3.7475,4.9225,5.9075,7.22,7.4425,7.61,1.765,1.9725,2.37,2.67,2.9975,3.195,3.39,97.75,410,913.75,1367.5,2890,4475,6110
2010-02-23,12.9315,12.7663,12.934,12.8098,12.025,12.285,12.735,12.9,13.355,13.64,13.872,1.4725,1.795,2.335,2.84,3.635,3.79,3.9075,0.49,0.56,0.67,0.775,0.9525,1.03,1.1025,2.73,3.64,4.7725,5.715,7.1,7.4225,7.7225,1.615,1.79,2.205,2.5,2.875,3.0875,3.2875,95.75,410,902.5,1370,2892.5,4525,6215.77
2010-02-24,12.8055,12.8027,12.9418,12.9315,11.5,12.135,12.335,12.61,13.12,13.44,13.76,1.5375,1.82,2.3375,2.8375,3.6375,3.8,3.9225,0.48,0.56,0.655,0.765,0.94,1.0175,1.09,2.8275,3.7,4.7825,5.6875,7.0875,7.425,7.7275,1.585,1.77,2.165,2.47,2.825,3.045,3.255,98.25,487,948.75,1412.5,3002.5,4600,6341.96
2010-02-25,12.8047,12.7867,12.8936,12.8055,11.253,11.835,12.225,12.49,13.025,13.4425,13.735,1.6375,1.91,2.4525,2.895,3.6075,3.805,3.9375,0.435,0.515,0.61,0.715,0.895,0.995,1.08,2.9975,3.85,4.9775,5.7975,7.035,7.4375,7.7725,1.42,1.595,1.965,2.29,2.675,2.97,3.225,97.25,507,940,1413.75,2947.5,4535,6255.7
2010-02-26,12.772,12.7332,12.8171,12.8042,10.445,11.565,12.045,12.35,12.905,13.3,13.635,1.74,1.965,2.5325,2.9075,3.6175,3.795,3.93,0.41,0.51,0.615,0.725,0.905,1,1.09,3.185,4,5.1425,5.8375,7.0775,7.4375,7.7925,1.31,1.555,1.94,2.295,2.695,2.98,3.23,92.75,474.63,911.25,1387.5,2891.25,4476.25,6326.15
2010-03-01,12.7326,12.7313,12.7805,12.7782,9.225,10.885,11.82,12.315,13.095,13.42,13.7,1.665,1.97,2.565,2.93,3.69,3.925,4.09,0.385,0.485,0.585,0.69,0.87,0.965,1.06,3.075,3.7275,4.885,5.61,7.0275,7.5675,7.94,1.245,1.495,1.86,2.2,2.5725,2.8575,3.1225,88.25,450,870,1330,2797.5,4400,6111.35
2010-03-02,12.7326,12.6943,12.7637,12.7326,8.465,9.995,10.835,11.325,12.27,12.68,13.055,1.6525,1.915,2.45,2.865,3.5475,3.83,4.09,0.39,0.495,0.58,0.71,0.875,0.95,1.0275,2.985,3.5725,4.7925,5.67,6.8725,7.28,7.645,1.25,1.65,1.975,2.305,2.685,2.96,3.1875,82.25,425,855,1313.75,2797.5,4400,6045.06
2010-03-03,12.6953,12.6798,12.7383,12.7321,7.87,9.895,10.56,11.19,12.13,12.58,12.96,1.795,2.0175,2.625,3.0225,3.695,4.145,4.085,0.49,0.54,0.605,0.705,0.8825,1.015,1.0775,3.7725,4.22,5.4725,6.2425,7.43,7.7425,8.055,1.805,1.94,2.235,2.565,2.98,3.1825,3.3675,76.25,400,833.75,1302.5,2757.5,4356.25,6061.45
