Fecha,"EURMXN Curncy PX_LAST","EURMXN Curncy PX_LOW","EURMXN Curncy PX_HIGH","EURMXN Curncy PX_OPEN","EURMXNV1W Curncy PX_LAST","EURMXNV1M Curncy PX_LAST","EURMXNV2M Curncy PX_LAST","EURMXNV3M Curncy PX_LAST","EURMXNV6M Curncy PX_LAST","EURMXNV9M Curncy PX_LAST","EURMXNV1Y Curncy PX_LAST","EURMXN25R1W Curncy PX_LAST","EURMXN25R1M Curncy PX_LAST","EURMXN25R2M Curncy PX_LAST","EURMXN25R3M Curncy PX_LAST","EURMXN25R6M Curncy PX_LAST","EURMXN25R9M Curncy PX_LAST","EURMXN25R1Y Curncy PX_LAST","EURMXN25B1W Curncy PX_LAST","EURMXN25B1M Curncy PX_LAST","EURMXN25B2M Curncy PX_LAST","EURMXN25B3M Curncy PX_LAST","EURMXN25B6M Curncy PX_LAST","EURMXN25B9M Curncy PX_LAST","EURMXN25B1Y Curncy PX_LAST","EURMXN10R1W Curncy PX_LAST","EURMXN10R1M Curncy PX_LAST","EURMXN10R2M Curncy PX_LAST","EURMXN10R3M Curncy PX_LAST","EURMXN10R6M Curncy PX_LAST","EURMXN10R9M Curncy PX_LAST","EURMXN10R1Y Curncy PX_LAST","EURMXN10B1W Curncy PX_LAST","EURMXN10B1M Curncy PX_LAST","EURMXN10B2M Curncy PX_LAST","EURMXN10B3M Curncy PX_LAST","EURMXN10B6M Curncy PX_LAST","EURMXN10B9M Curncy PX_LAST","EURMXN10B1Y Curncy PX_LAST","EURMXN1W Curncy PX_LAST","EURMXN1M Curncy PX_LAST","EURMXN2M Curncy PX_LAST","EURMXN3M Curncy PX_LAST","EURMXN6M Curncy PX_LAST","EURMXN9M Curncy PX_LAST","EURMXN12M Curncy PX_LAST"
2010-01-29,18.1534,18.0107,18.2645,18.2586,13.132,12.452,12.778,13.132,13.407,13.7575,14.115,2.3975,3.15,3.7475,4.63,5.2,5.4075,5.71,0.57,0.6525,0.7625,0.9175,1.0275,1.1325,1.25,4.2,5.795,6.9375,8.58,9.6725,10.1025,10.5675,1.6825,1.88,2.3025,2.72,2.9425,3.1925,3.4,136.2518,558.5035,1276.0808,1870.7953,3889.7661,5964.782,8434.6338
2010-02-01,17.9403,17.9234,18.1966,18.1519,12.465,12.177,12.7,13.03,13.445,13.7775,14.125,1.56,1.7625,3.93,4.5,5.26,5.44,5.7125,0.54,0.62,0.765,0.9075,1.03,1.13,1.2425,2.73,3.245,7.28,8.3375,9.7825,10.155,10.5675,1.6,1.825,2.2975,2.6925,2.945,3.1825,3.38,136.275,552.3846,1268.9834,1860.1816,3854.028,5889.5495,8499.2412
2010-02-02,17.9624,17.9172,18.0122,17.9403,12.375,12.09,12.505,12.85,13.308,13.665,14.028,1.8,2.8325,3.8075,4.415,5.26,5.44,5.7125,0.54,0.635,0.755,0.8975,1.0225,1.125,1.2375,3.1475,5.2175,7.05,8.1875,9.7825,10.155,10.5675,1.595,1.835,2.2725,2.67,2.9275,3.1675,3.3675,140.3168,575.9495,1284.4091,1913.7555,3934.3349,5990.112,8339.585
2010-02-03,17.9915,17.939,18.0485,17.9624,12.395,12.15,12.512,12.7,13.22,13.6225,14.02,1.8,2.8325,3.685,4.335,5.2,5.29,5.4725,0.535,0.62,0.7425,0.8825,1.0075,1.1075,1.22,3.15,5.2175,6.825,8.0325,9.6725,9.88,10.1275,1.59,1.79,2.2325,2.625,2.88,3.1325,3.34,144.3873,592.7194,1288.2908,1941.6648,3961.9075,6045.2995,8485.9991
2010-02-04,18.0684,17.9315,18.092,17.9912,13.48,13.045,13.198,13.48,13.862,14.07,14.34,2.2775,3.2725,3.685,4.3925,5.2575,5.44,5.7125,0.58,0.6575,0.7725,0.9175,1.0425,1.1375,1.2475,3.9875,6.0275,6.825,8.1425,9.7825,10.155,10.5675,1.705,1.89,2.3275,2.7225,2.9775,3.1975,3.3875,168.2683,595.7521,1270.1231,1976.8086,3981.042,6075.0085,8372.3076
2010-02-05,17.9817,17.945,18.0946,18.0684,14.122,12.858,12.948,13.163,13.645,14.0425,14.425,2.2775,3.2725,3.685,4.3925,5.26,5.44,5.7125,0.59,0.665,0.775,0.92,1.0425,1.1375,1.25,3.99,6.0275,6.825,8.1425,9.7825,10.1575,10.5675,1.735,1.92,2.3375,2.735,2.9825,3.2,3.39,152.692,616.0836,1293.9383,1983.9349,4013.5146,6079.4226,8556.4932
2010-02-08,18.0389,17.9014,18.0936,18.026,13.128,12.395,12.743,13.005,13.517,13.9025,14.28,2.28,3.2725,3.685,4.3925,5.26,5.44,5.7125,0.575,0.66,0.7725,0.9175,1.0425,1.1375,1.245,3.99,6.0275,6.825,8.1425,9.7825,10.1575,10.5675,1.695,1.9,2.3375,2.7325,2.9775,3.1975,3.385,151.5664,602.1544,1316.8891,1933.3768,4000.2236,6018.8191,8355.7119
2010-02-09,17.945,17.929,18.1201,18.0389,12.615,12.28,12.58,12.85,13.34,13.7425,14.13,2.04,3.2125,3.625,4.3325,5.165,5.375,5.6775,0.55,0.655,0.7625,0.91,1.0275,1.1275,1.24,3.57,5.9125,6.71,8.0325,9.6075,10.035,10.5025,1.62,1.8875,2.3125,2.715,2.9525,3.1825,3.375,151.0184,600.0784,1290.2561,1924.2034,3989.5747,6031.2839,8413.0733
2010-02-10,18.037,17.8599,18.0406,17.9506,12.448,12.195,12.503,12.73,13.298,13.6975,14.085,1.86,3.1475,3.5625,4.3325,5.165,5.375,5.6775,0.525,0.65,0.7575,0.905,1.0225,1.1225,1.2325,3.2525,5.795,6.595,8.0325,9.6075,10.035,10.5025,1.56,1.875,2.2975,2.695,2.9375,3.1625,3.355,149.1185,587.3526,1253.0642,1908.6868,3963.0779,6043.1062,8382.5967
2010-02-11,17.7269,17.6961,18.0692,18.037,12.63,12.105,12.398,12.66,13.118,13.5925,14.025,1.86,3.1475,3.5625,4.3325,5.165,5.375,5.6775,0.525,0.645,0.7575,0.8975,1.0125,1.1125,1.23,3.255,5.7975,6.595,8.0325,9.605,10.035,10.5025,1.56,1.865,2.2875,2.68,2.9,3.1425,3.345,147.2632,585.2723,1243.0552,1912.7483,3946.2114,6002.4988,8422.1123
