Fecha,"USDBRL Curncy PX_LAST","USDBRL Curncy PX_LOW","USDBRL Curncy PX_HIGH","USDBRL Curncy PX_OPEN","USDBRLV1W Curncy PX_LAST","USDBRLV1M Curncy PX_LAST","USDBRLV2M Curncy PX_LAST","USDBRLV3M Curncy PX_LAST","USDBRLV6M Curncy PX_LAST","USDBRLV9M Curncy PX_LAST","USDBRLV1Y Curncy PX_LAST","USDBRL25R1W Curncy PX_LAST","USDBRL25R1M Curncy PX_LAST","USDBRL25R2M Curncy PX_LAST","USDBRL25R3M Curncy PX_LAST","USDBRL25R6M Curncy PX_LAST","USDBRL25R9M Curncy PX_LAST","USDBRL25R1Y Curncy PX_LAST","USDBRL25B1W Curncy PX_LAST","USDBRL25B1M Curncy PX_LAST","USDBRL25B2M Curncy PX_LAST","USDBRL25B3M Curncy PX_LAST","USDBRL25B6M Curncy PX_LAST","USDBRL25B9M Curncy PX_LAST","USDBRL25B1Y Curncy PX_LAST","USDBRL10R1W Curncy PX_LAST","USDBRL10R1M Curncy PX_LAST","USDBRL10R2M Curncy PX_LAST","USDBRL10R3M Curncy PX_LAST","USDBRL10R6M Curncy PX_LAST","USDBRL10R9M Curncy PX_LAST","USDBRL10R1Y Curncy PX_LAST","USDBRL10B1W Curncy PX_LAST","USDBRL10B1M Curncy PX_LAST","USDBRL10B2M Curncy PX_LAST","USDBRL10B3M Curncy PX_LAST","USDBRL10B6M Curncy PX_LAST","USDBRL10B9M Curncy PX_LAST","USDBRL10B1Y Curncy PX_LAST","BCN1W Curncy PX_LAST","BCN1M Curncy PX_LAST","BCN2M Curncy PX_LAST","BCN3M Curncy PX_LAST","BCN6M Curncy PX_LAST","BCN9M Curncy PX_LAST","BCN12M Curncy PX_LAST"
2010-09-29,1.7009,1.7001,1.708,1.7062,9.96,10.818,11.8,12.708,13.878,14.8725,15.535,2.095,2.66,3.65,4.415,5.45,5.57,5.7875,0.435,0.52,0.605,0.7,0.86,0.905,1.01,3.7475,4.8225,6.69,8.2,10.32,10.67,11.0475,1.3625,1.6375,1.8575,2.1625,2.6675,2.895,3.1025,21.45,121.25,192,309.5,641,1028,1403.5
2010-09-30,1.6873,1.6864,1.7031,1.7025,10.53,11.04,11.995,12.868,13.932,14.8375,15.477,2.3975,2.6925,3.695,4.49,5.515,5.6075,5.8325,0.4775,0.5425,0.6025,0.6925,0.835,0.8825,0.99,4.265,4.8525,6.725,8.27,10.38,10.675,11.0775,1.535,1.5925,1.845,2.1,2.545,2.785,2.9925,31.06,108.01,196.5,318.76,636.5,1010.5,1410
2010-10-01,1.6897,1.6735,1.6906,1.6823,10.76,11.148,12.055,12.898,13.972,14.9075,15.557,2.1225,2.52,3.5575,4.4775,5.5025,5.615,5.8025,0.4375,0.4975,0.5925,0.7075,0.875,0.915,1.015,3.815,4.575,6.5275,8.305,10.3875,10.7175,11.0525,1.445,1.64,1.875,2.185,2.725,2.955,3.1575,27.1,104,197.5,310.26,635.5,1004.51,1376
2010-10-04,1.6979,1.6814,1.7023,1.6869,11.3,11.79,12.515,13.142,14.14,14.9975,15.648,2.1825,2.7025,3.5875,4.4875,5.455,5.62,5.8275,0.4475,0.515,0.6,0.7125,0.88,0.9325,1.05,3.89,4.905,6.5775,8.34,10.33,10.745,11.0825,1.465,1.67,1.88,2.175,2.7175,2.945,3.165,22.06,NULL,NULL,NULL,NULL,NULL,NULL
2010-10-05,1.6632,1.6632,1.701,1.7003,11.51,12.017,12.72,13.217,14.205,15.02,15.65,2.0625,2.4175,3.4075,4.3075,5.4375,5.6225,5.8275,0.4325,0.49,0.58,0.69,0.8675,0.9225,1.025,3.665,4.36,6.2175,7.9525,10.3025,10.765,11.1225,1.39,1.6025,1.8475,2.175,2.7325,2.9475,3.165,21.44,106.25,191.75,306.75,630.75,1018.75,1346.25
2010-10-06,1.6788,1.6632,1.6896,1.6648,12.11,12.642,13.208,13.802,14.675,15.26,15.77,1.9425,2.26,3.3175,4.3,5.3925,5.5625,5.7775,0.4425,0.495,0.5825,0.6925,0.875,0.93,1.045,3.445,4.065,6.04,7.9225,10.1775,10.6325,10.9925,1.445,1.63,1.8575,2.17,2.72,2.935,3.1625,21.68,99.51,202.5,318.5,645.5,1005,1385.01
2010-10-07,1.6811,1.6684,1.6895,1.6743,13.04,13.645,14.063,14.59,15.477,15.8675,16.373,1.9225,2.3675,3.3525,4.3125,5.3225,5.53,5.7725,0.3875,0.4675,0.5525,0.6725,0.8275,0.88,0.9825,3.445,4.295,6.1425,7.96,10.035,10.5225,10.965,1.39,1.61,1.8625,2.175,2.72,2.93,3.12,23.26,114.5,206.5,320.75,634.49,995.5,1377.99
2010-10-08,1.6661,1.6642,1.6917,1.6869,11.355,12.175,13.097,13.717,14.753,15.4675,16.04,1.8675,2.3275,3.335,4.2975,5.3175,5.5175,5.7575,0.4075,0.4775,0.565,0.6825,0.8425,0.895,1,3.375,4.21,6.095,7.925,10.0375,10.525,10.9525,1.39,1.6075,1.855,2.175,2.725,2.935,3.1325,22.27,104,193.5,314.76,629.5,983.5,1367
2010-10-11,1.6699,1.6614,1.6709,1.6653,11.655,12.427,13.302,13.908,14.92,15.5775,16.155,1.8875,2.3925,3.41,4.34,5.3625,5.5675,5.7725,0.4025,0.4825,0.5625,0.67,0.8125,0.8675,0.965,3.4,4.32,6.22,7.98,10.0875,10.58,10.9575,1.39,1.6175,1.8525,2.13,2.635,2.85,3.0325,22.27,104.25,200,316,634.99,991.99,1372.49
2010-10-13,1.653,1.6515,1.6659,1.6615,11.465,12.198,12.905,13.717,14.698,15.3675,15.96,1.8675,2.3625,3.3325,4.3175,5.3525,5.53,5.7875,0.4425,0.4975,0.5825,0.6925,0.855,0.9125,1.04,3.325,4.245,6.0625,7.9325,10.1,10.54,10.9625,1.48,1.6475,1.875,2.1575,2.6725,2.905,3.1225,21.44,95.75,195,319,612.99,948,1324.75
