Fecha,"EURUSD Curncy PX_LAST","EURUSD Curncy PX_LOW","EURUSD Curncy PX_HIGH","EURUSD Curncy PX_OPEN","EURUSDV1W Curncy PX_LAST","EURUSDV1M Curncy PX_LAST","EURUSDV2M Curncy PX_LAST","EURUSDV3M Curncy PX_LAST","EURUSDV6M Curncy PX_LAST","EURUSDV9M Curncy PX_LAST","EURUSDV1Y Curncy PX_LAST","EURUSD25R1W Curncy PX_LAST","EURUSD25R1M Curncy PX_LAST","EURUSD25R2M Curncy PX_LAST","EURUSD25R3M Curncy PX_LAST","EURUSD25R6M Curncy PX_LAST","EURUSD25R9M Curncy PX_LAST","EURUSD25R1Y Curncy PX_LAST","EURUSD25B1W Curncy PX_LAST","EURUSD25B1M Curncy PX_LAST","EURUSD25B2M Curncy PX_LAST","EURUSD25B3M Curncy PX_LAST","EURUSD25B6M Curncy PX_LAST","EURUSD25B9M Curncy PX_LAST","EURUSD25B1Y Curncy PX_LAST","EURUSD10R1W Curncy PX_LAST","EURUSD10R1M Curncy PX_LAST","EURUSD10R2M Curncy PX_LAST","EURUSD10R3M Curncy PX_LAST","EURUSD10R6M Curncy PX_LAST","EURUSD10R9M Curncy PX_LAST","EURUSD10R1Y Curncy PX_LAST","EURUSD10B1W Curncy PX_LAST","EURUSD10B1M Curncy PX_LAST","EURUSD10B2M Curncy PX_LAST","EURUSD10B3M Curncy PX_LAST","EURUSD10B6M Curncy PX_LAST","EURUSD10B9M Curncy PX_LAST","EURUSD10B1Y Curncy PX_LAST","EUR1W Curncy PX_LAST","EUR1M Curncy PX_LAST","EUR2M Curncy PX_LAST","EUR3M Curncy PX_LAST","EUR6M Curncy PX_LAST","EUR9M Curncy PX_LAST","EUR12M Curncy PX_LAST"
2011-12-21,1.3047,1.3025,1.3197,1.3082,10.0775,12.7125,13.7625,14.26,14.8425,15.02,15.1325,-0.28,-1.55,-2.2125,-2.6625,-3.185,-3.4075,-3.595,0.2125,0.3125,0.3875,0.48,0.5825,0.64,0.6775,-0.355,-2.9725,-3.98,-4.9325,-6.0375,-6.4925,-6.8725,0.8475,1.0025,1.25,1.5425,1.905,2.075,2.1875,0.22,6.02,9.99,14.21,28.44,43.5,60.99
2011-12-22,1.305,1.3017,1.3119,1.3047,9.29,12.7025,13.7525,14.2725,14.795,15.02,15.16,-0.2725,-1.58,-2.2075,-2.6625,-3.225,-3.455,-3.62,0.25,0.315,0.395,0.4825,0.5875,0.6525,0.695,0.16,-2.865,-3.9225,-4.89,-6.0825,-6.5575,-6.885,0.8275,0.9675,1.255,1.535,1.9075,2.1025,2.2175,0.19,6.28,10.23,14.2,27.82,44.18,62.1
2011-12-23,1.3044,1.3026,1.3096,1.305,9.11,12.7125,13.6875,14.0925,14.7425,14.97,15.1,-0.36,-1.5625,-2.205,-2.65,-3.18,-3.395,-3.5625,0.2875,0.315,0.3925,0.4775,0.5675,0.6225,0.66,-0.425,-2.865,-3.9175,-4.8325,-5.975,-6.43,-6.75,1.0275,0.9675,1.2475,1.505,1.8775,2.05,2.165,0.19,6.69,11.24,15.7,31.46,50.63,73.61
2011-12-26,1.3061,1.3035,1.3083,1.3043,9.12,12.8475,13.73,14.1125,14.74,14.98,15.11,-0.2875,-1.5675,-2.195,-2.6575,-3.205,-3.44,-3.605,0.2375,0.325,0.4,0.4875,0.59,0.65,0.69,-0.31,-2.9125,-3.945,-4.895,-6.055,-6.54,-6.88,0.84,0.9925,1.26,1.5325,1.8975,2.09,2.21,0.19,6.91,11.65,16.09,30.92,49.7,71.48
2011-12-27,1.3071,1.3043,1.3083,1.3061,8.5325,12.7575,13.575,14.0925,14.725,14.9275,15.065,-0.2425,-1.575,-2.2025,-2.6625,-3.2175,-3.4575,-3.6225,0.21,0.3225,0.3975,0.4925,0.5975,0.67,0.7075,-0.1675,-3.0575,-3.9825,-4.955,-6.14,-6.65,-6.975,0.8475,1.015,1.2475,1.5325,1.895,2.11,2.215,0.19,6.74,11.24,16.54,32.95,53.03,77.48
2011-12-28,1.2941,1.2912,1.308,1.3071,8.95,12.8575,13.54,14.1725,14.8725,15.04,15.15,-0.085,-1.6075,-2.2025,-2.58,-3.06,-3.2325,-3.4125,0.2875,0.3225,0.3825,0.4675,0.5225,0.565,0.59,-0.1625,-3.15,-3.95,-4.7575,-5.7825,-6.1575,-6.485,1,1.0175,1.25,1.51,1.8225,1.9525,2.0525,1.48,4.14,9.41,14.35,33.95,55.74,82.38
2011-12-29,1.2961,1.2858,1.2965,1.2941,10.955,13.3925,14.0725,14.7125,15.18,15.2925,15.3775,-0.415,-1.635,-2.195,-2.6025,-3.07,-3.27,-3.42,0.2575,0.2975,0.3675,0.4575,0.52,0.565,0.5925,-0.695,-2.895,-3.9375,-4.795,-5.78,-6.1775,-6.465,0.815,0.89,1.195,1.4725,1.755,1.91,2.05,0.4,2.55,7.45,12.64,33.04,56.13,79.68
2011-12-30,1.2961,1.2904,1.2999,1.2961,11.0875,13.2025,14.065,14.7025,15.1925,15.24,15.395,-0.2625,-1.5575,-2.1025,-2.57,-3.025,-3.3275,-3.345,0.245,0.265,0.32,0.405,0.495,0.645,0.565,-0.4225,-2.735,-3.895,-4.7975,-5.8625,-6.2975,-6.655,1.1375,0.8975,1.215,1.5025,1.855,2.0525,2.1925,0.51,2.65,6.75,11.18,29.6,51.82,76.37
2012-01-02,1.2934,1.2912,1.2971,1.2963,11.775,13.5825,14.1825,14.7225,15.225,15.27,15.4325,-0.285,-1.5525,-2.1025,-2.555,-3.02,-3.31,-3.3425,0.23,0.2725,0.3275,0.4125,0.5025,0.65,0.57,-0.51,-2.8475,-3.9075,-4.7925,-5.895,-6.3325,-6.7025,0.83,0.9125,1.2175,1.4975,1.865,2.055,2.185,0.39,3.01,6.79,11.63,29.99,51.73,78.16
2012-01-03,1.305,1.2931,1.3077,1.2934,11.3375,13.0575,13.5975,14.075,14.5275,14.665,14.7675,-0.2875,-1.4025,-2.0225,-2.5,-2.8675,-3.0525,-3.205,0.26,0.295,0.3575,0.445,0.515,0.55,0.58,-0.465,-2.8375,-3.645,-4.6325,-5.4225,-5.8025,-6.0925,0.8425,0.9725,1.14,1.455,1.7725,1.91,2.035,0.18,1.55,4.47,8.8,25.63,46.43,67.14
