Fecha,"EURBRL Curncy PX_LAST","EURBRL Curncy PX_LOW","EURBRL Curncy PX_HIGH","EURBRL Curncy PX_OPEN","EURBRLV1W Curncy PX_LAST","EURBRLV1M Curncy PX_LAST","EURBRLV2M Curncy PX_LAST","EURBRLV3M Curncy PX_LAST","EURBRLV6M Curncy PX_LAST","EURBRLV9M Curncy PX_LAST","EURBRLV1Y Curncy PX_LAST","EURBRL25R1W Curncy PX_LAST","EURBRL25R1M Curncy PX_LAST","EURBRL25R2M Curncy PX_LAST","EURBRL25R3M Curncy PX_LAST","EURBRL25R6M Curncy PX_LAST","EURBRL25R9M Curncy PX_LAST","EURBRL25R1Y Curncy PX_LAST","EURBRL25B1W Curncy PX_LAST","EURBRL25B1M Curncy PX_LAST","EURBRL25B2M Curncy PX_LAST","EURBRL25B3M Curncy PX_LAST","EURBRL25B6M Curncy PX_LAST","EURBRL25B9M Curncy PX_LAST","EURBRL25B1Y Curncy PX_LAST","EURBRL10R1W Curncy PX_LAST","EURBRL10R1M Curncy PX_LAST","EURBRL10R2M Curncy PX_LAST","EURBRL10R3M Curncy PX_LAST","EURBRL10R6M Curncy PX_LAST","EURBRL10R9M Curncy PX_LAST","EURBRL10R1Y Curncy PX_LAST","EURBRL10B1W Curncy PX_LAST","EURBRL10B1M Curncy PX_LAST","EURBRL10B2M Curncy PX_LAST","EURBRL10B3M Curncy PX_LAST","EURBRL10B6M Curncy PX_LAST","EURBRL10B9M Curncy PX_LAST","EURBRL10B1Y Curncy PX_LAST","EURBRL1W Curncy PX_LAST","EURBRL1M Curncy PX_LAST","EURBRL2M Curncy PX_LAST","EURBRL3M Curncy PX_LAST","EURBRL6M Curncy PX_LAST","EURBRL9M Curncy PX_LAST","EURBRL12M Curncy PX_LAST"
2013-05-21,2.6329,2.6216,2.6344,2.6223,9.95,10.462,10.483,10.808,11.355,11.8825,12.282,0.6375,0.975,1.1875,1.55,2.2625,2.5925,2.87,0.2675,0.3525,0.4375,0.54,0.6425,0.725,0.795,1.1025,1.74,2.155,2.875,4.3125,5.0475,5.5925,1.115,1.1625,1.465,1.83,2.225,2.68,3.1175,40.2,149.11,264.27,410.85,856.45,1277.12,1702.91
2013-05-22,2.6356,2.6237,2.6432,2.6386,9.87,10.38,10.49,10.74,11.35,11.795,12.188,0.7225,0.9975,1.27,1.5825,2.265,2.59,2.9575,0.2575,0.35,0.445,0.54,0.64,0.725,0.7925,1.2875,1.78,2.2625,2.9225,4.31,5.03,5.58,1.145,1.17,1.4975,1.8275,2.2275,2.675,3.105,40.15,137.33,271.52,420.42,843,1282.75,1741.35
2013-05-23,2.6456,2.6409,2.6608,2.644,10.783,10.462,10.587,10.863,11.448,11.855,12.26,0.7275,1.0125,1.255,1.585,2.265,2.59,2.8975,-1.075,0.3525,0.4425,0.5375,0.64,0.7225,0.835,1.3,1.82,2.275,2.935,4.32,5.0425,5.6475,-0.165,1.1475,1.4825,1.835,2.2375,2.69,3.1875,40.2,138.16,273.32,422.52,864.95,1291.11,1751.31
2013-05-24,2.6518,2.6402,2.6571,2.6501,8.932,10.515,10.74,10.995,11.595,11.8975,12.175,0.635,1.1525,1.4775,1.7725,2.2225,2.3975,2.5475,0.2425,0.34,0.43,0.5075,0.59,0.64,0.6875,1.1875,1.9425,2.505,3.05,4.005,4.38,4.63,1.79,1.2275,1.4775,1.725,2.0025,2.36,2.66,26.7,154.2,282.8,417.65,874.2,1328.1,1803.95
2013-05-27,2.6583,2.6499,2.6612,2.6555,9.93,10.372,10.53,10.83,11.435,11.8525,12.173,0.7175,1.0475,1.275,1.6,2.265,2.5875,2.86,0.2625,0.355,0.44,0.535,0.635,0.72,0.7875,1.32,1.815,2.2525,2.8925,4.265,4.95,5.495,1.435,1.215,1.54,1.89,2.2525,2.7,3.1325,31.25,160,291.95,435.3,893.7,1343.8,1806.8
2013-05-28,2.6664,2.6446,2.6705,2.6573,10.403,10.682,10.922,11.128,11.648,12.01,12.37,0.745,1.26,1.6125,1.935,2.595,2.7675,2.995,0.27,0.3575,0.455,0.55,0.6525,0.725,0.805,1.29,2.2525,2.925,3.595,4.95,5.38,5.83,1.1525,1.175,1.49,1.825,2.2125,2.67,3.1225,31.15,135.25,290.35,429.25,882.65,1327.9,1798.6
2013-05-29,2.732,2.6825,2.7368,2.6886,11.487,11.355,11.308,11.507,11.905,12.3525,12.613,0.9375,1.465,1.8125,2.0475,2.7,2.8925,3.08,0.255,0.36,0.4575,0.55,0.6475,0.7275,0.765,1.615,2.6075,3.29,3.8075,4.9825,5.4175,5.77,1.0175,1.1525,1.485,1.82,2.205,2.6875,3.105,31.45,168.25,320.45,467.95,911.55,1372.2,1854.35
2013-05-31,2.7829,2.7471,2.7911,2.7535,15.305,13.75,13.618,13.57,13.395,13.405,13.417,1.1975,1.6775,1.975,2.3175,2.6325,2.8725,3.0275,0.2475,0.35,0.435,0.52,0.6025,0.68,0.74,1.9375,2.9,3.505,4.165,4.85,5.3875,5.735,1.285,1.125,1.4225,1.725,2.1075,2.54,2.9375,37.75,172.2,334.5,490,986.2,1482.95,2009.75
2013-06-03,2.7785,2.764,2.8024,2.781,14.967,13.698,13.568,13.458,13.505,13.51,13.52,1.1775,1.615,1.92,2.2875,2.6125,2.885,3.0775,0.25,0.355,0.4425,0.535,0.615,0.6975,0.7675,1.965,2.86,3.4625,4.225,4.96,5.58,5.955,1.14,1.15,1.47,1.7925,2.1925,2.64,3.0775,38,159.21,294.6,446.91,1010.15,1355.22,1808.71
2013-06-04,2.7836,2.7582,2.8091,2.7809,15.007,13.235,13.13,13.032,13.087,13.14,13.175,1.21,1.825,2.0675,2.4775,2.715,2.94,3.05,0.2625,0.3575,0.4425,0.53,0.605,0.68,0.73,1.97,3.1025,3.62,4.38,4.97,5.45,5.725,1.3225,1.12,1.425,1.7225,2.105,2.53,2.93,31.6,178.47,338.29,511.98,1032.7,1518.71,2067
